campany,location,duration
"Fortinet, Inc -","Dubai, United Arab Emirates ",Full Time
Arpatech -,"Medina, Saudi Arabia ",Full Time
Neworleansbio -,"Cairo, Egypt ",Full Time
Syndica -,"Dubai, United Arab Emirates ",Full Time
Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt ",Full Time
OKX -,"Dubai, United Arab Emirates ",Full Time
Candidates-Hub -,"Cairo, Egypt ",Full Time
Confidential -,"Nasr City, Cairo, Egypt ",Full Time
Mediclinic International -,"Dubai, United Arab Emirates ",Full Time
Saint-Gobain -,"Cairo, Egypt ",Full Time
Pinehart -,"Cairo, Egypt ",Work From Home
Impactyn -,"Sheikh Zayed, Giza, Egypt ",Full Time
Dexef -,"Quweisna, Monufya, Egypt ",Full Time
Infinity Clinic Pharma -,"Nasr City, Cairo, Egypt ",Full Time
Smart Technologies -,"Nasr City, Cairo, Egypt ",Full Time
Fawry for Banking Technology and Electronic Payments S.A.E -,"Smart Village, Giza, Egypt ",Full Time
Confidential -,"Cairo, Egypt ",Full Time
Techno Management -,"New Capital, Cairo, Egypt ",Full Time
nichepharma -,"Sheikh Zayed, Giza, Egypt ",Internship
smart clinic -,"Mansoura, Dakahlia, Egypt ",Full TimePart TimeWork From Home
Anspire Agency -,"New Cairo, Cairo, Egypt ",Full TimeWork From Home
Anspire Agency -,"New Cairo, Cairo, Egypt ",Full TimeWork From Home
Confidential -,"Cairo, Egypt ",Full Time
Erada -,"Maadi, Cairo, Egypt ",Full Time
GAC -,"Dubai, United Arab Emirates ",Full Time
Salt Search Ltd -,"Dubai, United Arab Emirates ",Full Time
Salt Search Ltd -,"Dubai, United Arab Emirates ",Full Time
GLOBAL AUTO -,"Katameya, Cairo, Egypt ",Full Time
Confidential -,"Alexandria, Egypt ",Full TimeWork From Home
Safa Soft -,"Maadi, Cairo, Egypt ",Full Time
Premium Solutions Consultancy -,"Doha, Qatar ",Full Time
Crevisoft Corporation -,"Maadi, Cairo, Egypt ",Full Time
Gulf Bank -,"Kuwait City, Kuwait ",Full Time
PSH -,"Maadi, Cairo, Egypt ",Full Time
Kayros games -,"Cairo, Egypt ",Part Time
Neworleansbio -,"Cairo, Egypt ",Full Time
Emirates Group Careers -,"Dubai, United Arab Emirates ",Full Time
Adidas Group -,"Cairo, Egypt ",Full Time
Souq.com for E-Commerce LLC -,"Cairo, Egypt ",Full Time
Vistra Group -,"Dubai, United Arab Emirates ",Full Time
MphExperts -,"Riyadh, Saudi Arabia ",Full Time
ServerHub Inc. -,"Cairo, Egypt ",Full TimeWork From Home
01 Systems -,"Riyadh, Saudi Arabia ",Full Time
ServerHub Inc. -,"Cairo, Egypt ",Full TimeWork From Home
DXC -,"Dubai, United Arab Emirates ",Full Time
DXC.technology -,"Dubai, United Arab Emirates ",Full Time
ysolution -,"New Damietta, Damietta, Egypt ",Full TimeWork From Home
nichepharma -,"Sheikh Zayed, Giza, Egypt ",Internship
Anecdote agency  -,"New Cairo, Cairo, Egypt ",Full Time
MICA -,"Haram, Giza, Egypt ",Full Time
TTC Technologies -,"Heliopolis, Cairo, Egypt ",Internship
Basata -,"Mokattam, Cairo, Egypt ",Full Time
Masria Digital Payment (MDP) -,"New Cairo, Cairo, Egypt ",Full Time
Sulfah -,"Maadi, Cairo, Egypt ",Full Time
Egabi FSI -,"Sheraton, Cairo, Egypt ",Full Time
Indigen Middle-East -,"Heliopolis, Cairo, Egypt ",Full Time
Crevisoft Corporation -,"Maadi, Cairo, Egypt ",Full Time
